                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67826,                 2.1892,                0.92405,                0.70125,                0.33268,                0.57446,                0.29097,                 1.3022,                 2.9079,                 1.5199,               0.070476,              0.0032804,              0.0032804
                      2,                0.73478,                0.97322,                 0.9353,                0.74061,                0.75517,                0.73257,                0.37753,                 1.5337,                 1.7546,                 1.8616,               0.040344,              0.0064815,              0.0064815
                      3,                0.79301,                 0.8934,                0.95514,                0.70396,                 0.8155,                0.71665,                0.38548,                 1.4594,                 2.1518,                 1.9088,               0.010101,              0.0095718,              0.0095718
                      4,                0.75931,                0.82725,                  0.944,                0.70582,                0.77643,                0.71328,                0.37017,                 1.5677,                 1.7037,                 2.0509,              0.0093751,              0.0093751,              0.0093751
                      5,                0.71347,                0.74935,                0.93397,                0.72687,                0.81606,                0.72838,                0.39662,                 1.5111,                 1.3264,                 1.9451,              0.0091112,              0.0091112,              0.0091112
                      6,                0.66335,                0.68878,                0.91429,                0.68529,                0.79298,                0.72173,                0.38866,                  1.507,                 1.3076,                 1.9948,              0.0088373,              0.0088373,              0.0088373
                      7,                0.64166,                0.65022,                0.90639,                0.68967,                0.80231,                0.70292,                0.37549,                 1.5709,                 1.3304,                  2.059,              0.0086048,              0.0086048,              0.0086048
                      8,                0.61526,                0.61816,                0.89302,                0.63732,                0.83103,                0.68479,                0.36666,                 1.5479,                 1.4823,                 2.0704,              0.0084446,              0.0084446,              0.0084446
                      9,                0.60723,                0.58934,                0.89653,                0.69278,                0.83594,                0.72766,                0.39875,                 1.4917,                 1.4747,                 1.9832,               0.008298,               0.008298,               0.008298
                     10,                  0.591,                0.56686,                0.88909,                0.75784,                0.88407,                0.76535,                0.41835,                 1.5254,                 1.3253,                 1.9801,              0.0081252,              0.0081252,              0.0081252
                     11,                0.57953,                0.54473,                0.88367,                 0.7286,                0.85928,                0.71671,                0.39962,                 1.5187,                 1.6187,                  2.122,              0.0079594,              0.0079594,              0.0079594
                     12,                0.56707,                 0.5387,                0.88522,                0.71702,                0.83928,                0.70055,                0.37886,                 1.5136,                 1.4995,                 2.0176,              0.0078002,              0.0078002,              0.0078002
                     13,                0.55925,                0.52562,                0.87917,                0.73039,                0.83115,                 0.7157,                0.37992,                 1.5367,                 1.3335,                 2.0984,              0.0076473,              0.0076473,              0.0076473
                     14,                0.55227,                0.50268,                0.88623,                 0.7297,                 0.8393,                0.70934,                0.37904,                 1.5561,                 1.4379,                 2.1173,              0.0075002,              0.0075002,              0.0075002
                     15,                0.53827,                0.48958,                0.87727,                 0.6495,                0.81498,                0.72735,                0.38305,                 1.5562,                 1.3295,                  2.197,              0.0073588,              0.0073588,              0.0073588
                     16,                0.53017,                0.47285,                0.86818,                 0.7254,                0.80395,                0.71932,                0.38643,                 1.5484,                 1.6081,                 2.1604,              0.0071701,              0.0071701,              0.0071701
                     17,                0.51727,                 0.4553,                0.86728,                0.74902,                0.78892,                0.74308,                 0.4023,                 1.5413,                 1.3316,                  2.108,              0.0070373,              0.0070373,              0.0070373
                     18,                 0.5093,                0.46008,                0.86099,                0.74806,                0.85324,                0.74003,                0.40733,                  1.581,                 1.3885,                  2.226,              0.0067311,              0.0067311,              0.0067311
                     19,                 0.5036,                0.44529,                0.87296,                0.74207,                 0.8028,                0.76215,                0.41319,                 1.5785,                 1.2715,                  2.171,              0.0064709,              0.0064709,              0.0064709
                     20,                0.50086,                 0.4484,                0.86066,                0.73751,                0.81145,                0.73812,                0.40033,                  1.564,                 1.3842,                 2.1877,              0.0062004,              0.0062004,              0.0062004
